tract,population,ca,ca_pop,tract_pop_proport
17031061100,448,6,42891,0.010445081718775501
17031830800,1164,4,16991,0.06850685657112589
17031030800,1869,77,21394,0.08736094232027672
17031280100,3073,28,24753,0.12414656809275644
17031090100,1569,9,7184,0.218402004454343
17031291600,305,29,15705,0.01942056669850366
17031010702,1454,1,18966,0.07666350311082991
17031836400,1667,36,3113,0.5354963058143271
17031032100,2835,3,22358,0.12680025046963056
17031120200,2012,12,11826,0.17013360392355825
17031390600,900,39,8613,0.1044932079414838
17031080400,1952,8,44014,0.04434952515108829
17031250700,2834,25,44880,0.06314616755793226
17031070700,1425,7,28647,0.04974342863127029
17031841000,591,33,11108,0.05320489737126395
17031740100,1291,74,7650,0.16875816993464052
17031191000,687,19,22514,0.030514346628764323
17031062700,1162,6,42891,0.027091930708073954
17031170200,1489,17,16506,0.09020962074397189
17031500300,718,50,3840,0.18697916666666667
17031170700,1163,17,16506,0.07045922694777657
17031200402,1239,20,7592,0.16319810326659642
17031580100,866,58,10883,0.07957364697234219
17031230800,457,23,20365,0.022440461576233733
17031230400,780,23,20365,0.038301006629020376
17031836600,1155,23,20365,0.05671495212374171
17031390200,901,39,8613,0.10460931150586324
17031600700,857,60,11308,0.07578705341351255
17031670100,726,67,16129,0.04501209002418005
17031060800,2287,6,42891,0.0533212095777669
17031031000,1742,3,22358,0.07791394579121567
17031191301,1428,19,22514,0.0634272008528027
17031805600,2011,9,7184,0.27992761692650336
17031063303,833,6,42891,0.019421323820848196
17031838000,1229,28,24753,0.04965054740839494
17031251800,2314,25,44880,0.05155971479500891
17031600900,1357,60,11308,0.12000353731871241
17031221100,1879,22,29254,0.06423053257674165
17031530502,924,53,14663,0.06301575393848462
17031660302,1482,66,19319,0.07671204513691185
17031843900,1832,42,12194,0.15023782187961293
17031140601,757,14,14263,0.053074388277361
17031390100,591,39,8613,0.06861720654824104
17031020901,1463,2,22962,0.06371396219841477
17031061000,722,6,42891,0.01683336830570516
17031710600,931,71,24558,0.037910253277954234
17031420800,1170,42,12194,0.09594882729211088
17031420600,1108,42,12194,0.09086435952107594
17031062500,632,6,42891,0.014735025996129724
17031100700,2154,10,19095,0.11280439905734485
17031510200,1522,51,7045,0.21603974449964514
17031191200,910,19,22514,0.04041929466109976
17031833300,770,28,24753,0.031107340524380883
17031841900,1589,28,24753,0.06419423908213145
17031170300,2009,17,16506,0.12171331636980492
17031120300,2811,12,11826,0.23769660071029933
17031580600,1318,58,10883,0.12110631259762933
17031834600,1239,68,13284,0.09327009936766034
17031520600,1087,52,7840,0.13864795918367348
17031520400,1209,52,7840,0.1542091836734694
17031200401,1071,20,7592,0.1410695468914647
17031730700,1164,73,14261,0.0816212046841035
17031260100,845,26,8398,0.10061919504643962
17031671100,538,67,16129,0.033356066712133425
17031271800,453,27,9266,0.04888840923807468
17031630100,299,63,9475,0.031556728232189975
17031030701,591,77,21394,0.027624567635785736
17031081000,3322,8,44014,0.07547598491389103
17031660600,2312,66,19319,0.11967493141466949
17031720400,812,72,9657,0.08408408408408409
17031140200,1239,14,14263,0.08686812031129496
17031350400,584,35,8480,0.06886792452830189
17031430200,2330,43,24231,0.09615781437002187
17031431302,1887,43,24231,0.07787544880524948
17031460400,1822,46,13298,0.13701308467438714
17031040202,2273,4,16991,0.1337767053145783
17031430400,1307,43,24231,0.0539391688333127
17031040401,1418,4,16991,0.08345594726619976
17031831400,1240,25,44880,0.027629233511586453
17031570200,628,57,3896,0.16119096509240247
17031836500,674,36,3113,0.21651140379055572
17031291200,1028,29,15705,0.06545686087233366
17031140100,858,14,14263,0.06015564747949239
17031660301,517,66,19319,0.026761219524820124
17031843500,275,30,15726,0.017486964263003942
17031611200,670,61,12807,0.052315140157726245
17031300600,820,30,15726,0.052142947984229936
17031711100,1672,71,24558,0.06808372017265249
17031051400,842,5,14463,0.058217520569729654
17031081700,1585,8,44014,0.03601126914163675
17031190402,1734,19,22514,0.07701874389268899
17031340400,504,34,4289,0.11750990906971322
17031071700,740,7,28647,0.025831675219045624
17031100600,2039,10,19095,0.10678188007331763
17031710200,2283,71,24558,0.09296359638407037
17031491100,2316,49,22197,0.1043384241113664
17031770902,1545,76,10300,0.15
17031200100,1455,20,7592,0.1916491043203372
17031110400,1819,11,10726,0.1695879172105165
17031260500,804,26,8398,0.0957370802572041
17031550200,1130,55,3637,0.3106956282650536
17031320400,773,32,15029,0.05143389447069
17031490901,1970,49,22197,0.08875073208091183
17031440101,2266,44,16965,0.13356911287945772
17031050700,673,5,14463,0.04653253128673166
17031050800,548,5,14463,0.03788978773421835
17031835600,493,37,1358,0.3630338733431517
17031611800,779,61,12807,0.06082611072069962
17031835100,1510,63,9475,0.15936675461741426
17031010202,917,1,18966,0.04834967837182326
17031310200,541,31,10688,0.05061751497005988
17031301801,993,30,15726,0.06314383822968332
17031221600,1262,22,29254,0.04313939974020647
17031020801,1866,2,22962,0.08126469819702116
17031040700,1460,4,16991,0.08592784415278677
17031831800,2058,13,6403,0.32141183820084335
17031070200,1682,7,28647,0.05871469961950641
17031062100,1349,6,42891,0.03145181972908069
17031461000,656,46,13298,0.04933072642502632
17031842600,1582,61,12807,0.12352619661122824
17031711500,1313,71,24558,0.053465265901132014
17031671600,1019,67,16129,0.06317812635625271
17031691100,1432,69,15818,0.09052977620432419
17031640500,1432,64,8704,0.1645220588235294
17031242000,1900,24,35052,0.054205180874129864
17031710900,1058,71,24558,0.04308168417623585
17031681200,1168,68,13284,0.08792532369768143
17031241100,1463,24,35052,0.04173798927307999
17031830900,1254,22,29254,0.042865932863881864
17031838600,646,29,15705,0.041133397007322506
17031252201,1424,25,44880,0.031729055258467025
17031260900,710,26,8398,0.08454393903310312
17031670200,602,67,16129,0.0373240746481493
17031670400,928,67,16129,0.057536115072230144
17031310500,474,31,10688,0.04434880239520958
17031063400,913,6,42891,0.021286516984915252
17031150800,1894,15,23644,0.08010488918964642
17031150501,1489,15,23644,0.0629758078159364
17031661000,2592,66,19319,0.13416843521921423
17031031100,1957,3,22358,0.0875301905358261
17031080201,1904,8,44014,0.04325896305720907
17031700302,2013,70,16316,0.1233758274086786
17031600400,1249,60,11308,0.11045277679518925
17031640300,2483,64,8704,0.28527113970588236
17031051300,1147,5,14463,0.07930581483786213
17031841200,1480,31,10688,0.13847305389221556
17031060100,1221,6,42891,0.028467510666573406
17031611700,642,61,12807,0.05012883579292574
17031222900,374,22,29254,0.012784576468175293
17031220602,2040,22,29254,0.06973405346277432
17031670900,583,67,16129,0.03614607229214459
17031823304,2445,75,13774,0.1775083490634529
17031560400,522,56,13660,0.03821376281112738
17031241600,1325,24,35052,0.037800981399064244
17031160200,1291,16,19181,0.06730618841561962
17031711300,787,71,24558,0.032046583598012865
17031841600,428,29,15705,0.02725246736708055
17031160900,1012,16,19181,0.05276054428861895
17031010100,1975,1,18966,0.10413371296003375
17031160501,1212,16,19181,0.06318752932589541
17031140500,1143,14,14263,0.0801374184954077
17031381400,831,38,11594,0.07167500431257547
17031630400,1603,63,9475,0.1691820580474934
17031830700,1327,3,22358,0.05935235709813042
17031140701,787,14,14263,0.05517773259482577
17031560100,409,56,13660,0.029941434846266473
17031711000,1752,71,24558,0.07134131443928658
17031070103,798,7,28647,0.02785632003351136
17031240500,1172,24,35052,0.03343603788656853
17031340500,610,34,4289,0.142224294707391
17031080202,1911,8,44014,0.04341800336256645
17031770500,575,76,10300,0.055825242718446605
17031071500,3079,7,28647,0.10748071351275876
17031221000,964,22,29254,0.032952758597114926
17031251500,2066,25,44880,0.046033868092691624
17031252000,2505,25,44880,0.055815508021390375
17031070500,1302,7,28647,0.04544978531783433
17031835000,2092,66,19319,0.10828717842538434
17031251900,2413,25,44880,0.05376559714795009
17031561000,2216,56,13660,0.16222547584187408
17031630800,1676,63,9475,0.17688654353562006
17031040402,2159,4,16991,0.12706727090812783
17031190300,1845,19,22514,0.08194900950519676
17031151002,1478,15,23644,0.06251057350702081
17031730300,597,73,14261,0.041862421990042774
17031620300,1980,62,5222,0.3791650708540789
17031570100,383,57,3896,0.09830595482546202
17031540102,1396,54,3130,0.4460063897763578
17031390500,753,39,8613,0.08742598397770812
17031410100,830,41,11097,0.07479498963683878
17031681400,1438,68,13284,0.10825052694971395
17031030103,493,77,21394,0.0230438440684304
17031310700,476,31,10688,0.04453592814371257
17031220702,1343,22,29254,0.0459082518629931
17031440102,1647,44,16965,0.09708222811671087
17031160400,1762,16,19181,0.09186173817840572
17031070101,1898,7,28647,0.06625475616993054
17031081300,2983,8,44014,0.06777389012586904
17031280800,494,28,24753,0.019957176907849553
17031720600,840,72,9657,0.08698353525939732
17031310800,1329,31,10688,0.12434505988023951
17031843000,1169,29,15705,0.07443489334606813
17031835900,1569,38,11594,0.13532861825081938
17031110100,2251,11,10726,0.20986388215550997
17031020200,2438,2,22962,0.10617542025955927
17031242900,768,24,35052,0.021910304690174597
17031560800,2264,56,13660,0.16573938506588579
17031282700,926,28,24753,0.037409606916333375
17031420700,1546,42,12194,0.12678366409709693
17031062800,1441,6,42891,0.033596791867757804
17031561100,2304,56,13660,0.1686676427525622
17031710700,1781,71,24558,0.07252219236094144
17031611900,732,61,12807,0.057156242679784496
17031490600,857,49,22197,0.03860882101184845
17031838800,1357,51,7045,0.19261887863733143
17031831200,1580,20,7592,0.20811380400421498
17031490700,1630,49,22197,0.07343334684867324
17031301100,583,30,15726,0.03707236423756836
17031200300,589,20,7592,0.07758166491043203
17031380700,628,38,11594,0.054165947904088324
17031410700,822,41,11097,0.07407407407407407
17031530300,2392,53,14663,0.16313169201391256
17031061901,1526,6,42891,0.03557855960457905
17031770800,2026,76,10300,0.1966990291262136
17031060300,1261,6,42891,0.029400107248606935
17031050600,1055,5,14463,0.07294475558321234
17031020400,1471,2,22962,0.06406236390558313
17031832600,1744,7,28647,0.06087897511083185
17031220400,1112,22,29254,0.03801189580912012
17031520300,2202,52,7840,0.2808673469387755
17031730400,2025,73,14261,0.14199565247878831
17031841300,1369,31,10688,0.1280875748502994
17031837800,1111,28,24753,0.044883448470892415
17031310600,1749,31,10688,0.16364146706586827
17031283100,954,28,24753,0.03854078293540177
17031031400,2462,3,22358,0.11011718400572502
17031340300,585,34,4289,0.13639543017020284
17031170100,902,17,16506,0.054646795104810374
17031151001,942,15,23644,0.03984097445440704
17031250200,1083,25,44880,0.02413101604278075
